airports,airports_locations
"Quinhagak, AK","(59.7506428, -161.8972349)"
"Napakiak, AK","(60.6939091, -161.9754465)"
"New Bedford/Fall River, MA","(41.6362152, -70.934205)"
"Anvik, AK","(62.651504, -160.2116540756542)"
"Tuntutuliak, AK","(60.374404, -162.71048502958905)"
"Holy Cross, AK","(62.1994444, -159.7713889)"
"Ambler, AK","(67.0870243, -157.8547266)"
"Bellaire, MI","(29.7057858, -95.4588299)"
"Trenton, NJ","(40.2170575, -74.7429463)"
"Ely, NV","(39.2474858, -114.8937518)"
"Hagerstown, MD","(39.6419219, -77.7202641)"
"Beaufort, SC","(32.4315813, -80.6698286)"
"Whidbey Island, WA","(48.15814255, -122.59742939440014)"
"Port Hueneme, CA","(34.1477558, -119.1951559)"
"Big Delta, AK","(64.1528989, -145.8424896)"
"Bridgeport, CT","(41.184722300000004, -73.18672053183846)"
"Lebanon-Hanover, NH","(43.653639999999996, -72.24936084238746)"
"Morgantown, WV","(39.6296809, -79.9559437)"
"Atmautluak, AK","(60.861776000000006, -162.2826096513686)"
"Nunapitchuk, AK","(60.8969444, -162.4594444)"
"Hyannis, MA","(41.651513, -70.2825918)"
"Pembina, ND","(48.7530787, -97.5532833)"
"Anniston, AL","(33.6594422, -85.8316326)"
"Kipnuk, AK","(59.931543500000004, -164.02359501679086)"
"Chefornak, AK","(60.15838, -164.2804249)"
"Greenville, MS","(33.4000633, -91.0551312)"
"Mammoth Lakes, CA","(37.6432525, -118.9668509)"
"Kapolei, HI","(21.3340079, -158.077849)"
"Homestead, FL","(25.4718946, -80.4759905)"
"Red River, ND","(20.34713885, 106.16384095815852)"
"Harrison, AR","(36.2297936, -93.1076765)"
"Springfield, OH","(39.9234046, -83.810138)"
"Carbondale, IL","(37.7274692, -89.216655)"
"Astoria/Seaside, OR","(46.187885, -123.831256)"
"Coeur d'Alene, ID","(47.6742994, -116.7811531)"
"Olympia, WA","(47.0451022, -122.8950075)"
"Alakanuk, AK","(62.6861788, -164.6660172)"
"Wake Island, TT","(37.566928, -76.428387)"
"Latrobe, PA","(40.317287, -79.3840301)"
"Hoquiam, WA","(46.980929, -123.889335)"
"Telluride, CO","(37.9374939, -107.8122852)"
"Iron Mountain/Kingsfd, MI","(45.820233, -88.06596)"
"Minneapolis/St. Paul, MN","(44.9227049, -93.05549217019382)"
"Soldotna, AK","(60.4847228, -151.0653495)"
"New Iberia, LA","(30.0035365, -91.8187285)"
"Peterson's Point, AK","(-28.9801778, 153.2678792)"
"St. Joseph, MO","(39.7686055, -94.8466322)"
"Tacoma, WA","(47.2495798, -122.4398746)"
"Wendover, UT","(40.7374014, -114.0304541)"
"Laramie, WY","(41.311367, -105.591101)"
"Fort Huachuca, AZ","(31.527254499999998, -110.36063211184869)"
"Franklin/Oil City, PA","(41.433948, -79.706441)"
"Silver City/Hurley, NM","(41.1133311, -95.637226)"
"Lufkin, TX","(31.3386242, -94.7288558)"
"Watertown, NY","(43.9747838, -75.9107565)"
"Bradford, PA","(41.9558963, -78.6439164)"
"Santa Fe, NM","(35.6876096, -105.9384569)"
"Beckley, WV","(37.7781702, -81.1881557)"
"Rangely, CO","(40.0874759, -108.8048292)"
"Hanapepe, HI","(21.915344, -159.5870321595117)"
"Lamar, CO","(33.6383552, -95.582343)"
"Ogdensburg, NY","(44.694285, -75.486374)"
"New London/Groton, CT","(41.33232565, -72.04044294323806)"
"Gallup, NM","(35.5283506, -108.743907)"
"Lake Havasu City, AZ","(34.4838502, -114.3224495)"
"Kingman, AZ","(35.189443, -114.0530065)"
"Brooksville, FL","(28.5552719, -82.3878709)"
"Jamestown, NY","(42.0970023, -79.2353259)"
"Chandler, AZ","(33.3061605, -111.84125)"
"Alamogordo, NM","(32.9046474, -105.941835)"
"Prescott, AZ","(34.5399962, -112.4687616)"
"Riverton/Lander, WY","(40.6870011, -95.568169)"
"Great Bend, KS","(38.3625063, -98.7804087)"
"Temple, TX","(31.098207, -97.3427847)"
"Carlsbad, NM","(32.4257456, -104.2376121)"
"Worland, WY","(44.0168463, -107.9557722)"
"Dodge City, KS","(37.7527982, -100.0170787)"
"Chicken, AK","(64.0849365, -141.87444884745457)"
"Clovis, NM","(34.405472, -103.2050709)"
"Central, AK","(65.538963, -144.70720919499604)"
"Cortez, CO","(37.3494528, -108.5840736)"
"Hobbs, NM","(32.707667, -103.1311314)"
"Hilton Head, SC","(32.1618488, -80.7512616)"
"Massena, NY","(44.928106, -74.892082)"
"Inyokern, CA","(35.652055000000004, -117.81766295868346)"
"Haycock, AK","(65.2097222, -161.1655556)"
"Cumberland, MD","(39.6526498, -78.762383)"
"Palmer, AK","(61.5995703, -149.1110902)"
"Vero Beach, FL","(27.6387163, -80.3975399)"
"Takotna, AK","(62.9720835, -156.10601630187466)"
"Salina, UT","(38.957742, -111.8599842)"
"Auburn, CA","(38.8945939, -121.0739897)"
"Brigham City, UT","(41.5103717, -112.0155619)"
"Mena, AR","(34.5862171, -94.2396554)"
"Hillsboro, OR","(45.5228939, -122.989827)"
"Connersville, IN","(39.6459777, -85.1331513)"
"Carlsbad, CA","(33.1580933, -117.3505966)"
"Columbia, CA","(38.03227005, -120.40241871889896)"
"Mesa, AZ","(33.4151117, -111.8314792)"
"Visalia, CA","(36.3302284, -119.2920585)"
"Edwards, CA","(34.9260827, -117.9350683)"
"El Centro, CA","(32.792, -115.5630514)"
"McCall, ID","(44.911006, -116.0987364)"
"Worthington, MN","(43.6205056, -95.5956434)"
"Spartanburg, SC","(34.9498007, -81.9320157)"
"Salida, CO","(4.3726617, -75.951474)"
"Rampart, AK","(65.408868, -149.98670940271694)"
"Peru, IN","(-8.37165655, -74.56724339233473)"
"Owensboro, KY","(37.7742152, -87.1133304)"
"Keene, NH","(42.933597, -72.2784264)"
"Elim, AK","(64.6173758, -162.2604161)"
"Los Alamos, NM","(35.893533500000004, -106.28970107056452)"
"Seward, AK","(60.104202, -149.4426113)"
"Houlton, ME","(46.1251286, -67.8407944)"
"Cut Bank, MT","(48.63304, -112.326162)"
"Millinocket, ME","(45.657728, -68.709869)"
"Utopia, AK","(65.9952959, -153.6901575)"
"Eagle Pass, TX","(28.7099337, -100.4938137)"
"St. Johns, AZ","(34.5058698, -109.3609327)"
"Chisana, AK","(62.107033, -142.00539789090448)"
"Burns, OR","(43.5862607, -119.0541032)"
"Douglas, AZ","(31.3471741, -109.5383567)"
"Crossville, TN","(35.9489566, -85.0269015)"
"Broomfield, CO","(39.9203827, -105.0691464)"
"Lakeland, FL","(28.0394654, -81.9498042)"
"Renton, WA","(47.4799078, -122.2034496)"
"Altoona, PA","(40.518681, -78.394736)"
"Marshall, MN","(48.3605336, -96.381968)"
"Lima, OH","(40.7399785, -84.105006)"
"Smith Cove, AK","(55.4388889, -132.3511111)"
"College Park, MD","(38.980666, -76.9369189)"
"Middletown, OH","(39.5150576, -84.3982763)"
"Marion, IN","(39.8155954, -86.1955339673879)"
"Jackson, MI","(32.2990384, -90.1847691)"
"Port Huron, MI","(42.9815877, -82.440466)"
"Marshall, MO","(39.1230777, -93.1968704)"
"Koliganek, AK","(59.6934295, -157.22306411040853)"
"Umiat, AK","(69.3669444, -152.1441667)"
"Nogales, AZ","(31.3402134, -110.9360818)"
"Ardmore, OK","(34.1742611, -97.1436254)"
"Sheboygan, WI","(43.7508284, -87.71453)"
"Batesville, AR","(35.769799, -91.6409722)"
"Mount Vernon, IL","(38.3172715, -88.9031201)"
"Findlay, OH","(41.0413873, -83.6503982)"
"Greeneville, TN","(36.1631575, -82.8309861)"
"Wilmington, OH","(39.4453393, -83.8285375)"
"Sanford, ME","(43.4388702, -70.7741924)"
"Paso Robles, CA","(35.6267654, -120.6912456)"
"Jamestown, ND","(46.910544, -98.708436)"
"Bryce Canyon, UT","(37.618409, -112.1422341)"
"Clarksville, TN","(36.5277607, -87.3588703)"
"Stillwater, OK","(36.1156306, -97.0585717)"
"Alton, IL","(38.8908583, -90.1843091)"
"Gladwin, MI","(43.9747774, -84.3873235)"
"McCord, AK","(57.1387087, -153.1997041)"
"Great Barrington, MA","(42.2103722, -73.3389121)"
"Johnstown, PA","(40.3267407, -78.9219698)"
"Grayling, AK","(62.9036111, -160.0647222)"
"Camp Douglas, WI","(43.9226641, -90.2711682)"
"Kasigluk, AK","(60.886195, -162.52427921563023)"
"Danville, IL","(40.125222, -87.6304614)"
"Tonopah, NV","(38.0681008, -117.2309499)"
"East Tawas, MI","(44.279461, -83.490252)"
"Roma, TX","(26.4070669, -99.0055462)"
"Fallon, NV","(39.4745166, -118.7778952)"
"Lopez Island, WA","(48.49559495, -122.9041221116354)"
"Bay St. Louis, MS","(30.3132823, -89.3343223)"
"Payson, AZ","(34.2308684, -111.3251355)"
"Greenwood, MS","(33.5162315, -90.1795281)"
"Beaver Falls, PA","(40.7520097, -80.3192295)"
"Big Spring, TX","(32.250398, -101.4787356)"
"Morristown, TN","(36.2139814, -83.2948923)"
"Titusville, FL","(28.6122187, -80.8075538)"
"Goldsboro, NC","(35.3848841, -77.9927651)"
"Marana, AZ","(32.4446988, -111.2157091)"
"Bagdad, AZ","(34.57774, -113.17428445757577)"
"El Dorado, AR","(33.20763, -92.6662674)"
"Homer, AK","(59.6440876, -151.5401477)"
"Patuxent River, MD","(38.8142728, -76.7117773)"
"McKinley Park, AK","(41.36942485, -88.41774629438356)"
"Palacios, TX","(28.7074641, -96.2175557)"
